iter	Passed	Remaining
0	143	143327
1	144	71964
2	144	48143
3	145	36259
4	146	29132
5	147	24381
6	148	20999
7	148	18436
8	149	16439
9	149	14838
10	150	13533
11	151	12442
12	151	11519
13	152	10728
14	152	10042
15	154	9481
16	154	8953
17	155	8479
18	156	8063
19	156	7681
20	157	7336
21	157	7021
22	158	6736
23	159	6474
24	159	6231
25	160	6008
26	160	5800
27	161	5607
28	162	5427
29	162	5260
30	163	5105
31	163	4957
32	164	4820
33	165	4690
34	165	4568
35	166	4453
36	166	4343
37	167	4239
38	168	4141
39	168	4051
40	169	3963
41	170	3881
42	170	3800
43	171	3722
44	171	3648
45	172	3577
46	173	3508
47	173	3443
48	174	3380
49	174	3320
50	175	3262
51	175	3207
52	176	3154
53	177	3103
54	177	3053
55	178	3005
56	178	2959
57	179	2914
58	180	2872
59	180	2830
60	181	2789
61	181	2750
62	182	2712
63	183	2679
64	183	2644
65	184	2609
66	184	2575
67	185	2543
68	186	2511
69	186	2480
70	187	2450
71	187	2421
72	188	2393
73	189	2365
74	189	2338
75	190	2312
76	190	2286
77	191	2261
78	191	2237
79	192	2213
80	192	2188
81	193	2165
82	194	2143
83	194	2122
84	195	2101
85	195	2080
86	196	2061
87	196	2041
88	197	2024
89	198	2006
90	199	1988
91	199	1970
92	200	1953
93	200	1936
94	201	1919
95	202	1904
96	202	1888
97	203	1872
98	204	1856
99	204	1841
100	205	1826
101	205	1811
102	206	1797
103	206	1782
104	207	1769
105	208	1755
106	208	1741
107	209	1728
108	209	1715
109	210	1702
110	210	1688
111	211	1676
112	212	1666
113	213	1657
114	213	1645
115	214	1634
116	215	1622
117	215	1611
118	216	1599
119	216	1588
120	217	1578
121	217	1567
122	218	1557
123	218	1547
124	219	1536
125	220	1527
126	220	1517
127	221	1507
128	221	1498
129	222	1489
130	223	1479
131	223	1470
132	224	1462
133	224	1453
134	225	1444
135	226	1436
136	226	1427
137	227	1419
138	227	1411
139	228	1404
140	228	1394
141	229	1386
142	230	1378
143	230	1369
144	230	1361
145	231	1354
146	232	1347
147	232	1339
148	233	1332
149	233	1325
150	234	1318
151	235	1311
152	235	1304
153	236	1297
154	236	1290
155	237	1284
156	237	1277
157	238	1270
158	239	1264
159	239	1258
160	240	1251
161	240	1245
162	241	1239
163	242	1234
164	242	1227
165	243	1222
166	243	1216
167	244	1210
168	244	1204
169	245	1198
170	246	1193
171	246	1187
172	247	1181
173	247	1176
174	248	1170
175	248	1165
176	249	1160
177	250	1154
178	250	1149
179	251	1144
180	251	1139
181	252	1133
182	252	1128
183	253	1123
184	253	1118
185	254	1113
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1089
191	258	1085
192	258	1081
193	259	1077
194	259	1072
195	260	1068
196	260	1063
197	261	1059
198	262	1055
199	262	1050
200	263	1046
201	263	1042
202	264	1038
203	264	1033
204	265	1029
205	266	1025
206	266	1021
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	270	997
213	270	994
214	271	990
215	271	986
216	272	982
217	272	979
218	273	975
219	274	972
220	274	968
221	275	964
222	275	961
223	276	957
